QReCC-Test_1_2	0	54355562	1
QReCC-Test_1_3	0	54312465	1
QReCC-Test_1_7	0	54367470	1
QReCC-Test_1_8	0	54291674	1
QReCC-Test_1_10	0	54311406	1
QReCC-Test_1_12	0	54290087	1
QReCC-Test_2_2	0	51467465	1
QReCC-Test_2_2	0	54470377	1
QReCC-Test_2_3	0	54283366	1
QReCC-Test_2_4	0	54381343	1
QReCC-Test_2_5	0	54283366	1
QReCC-Test_2_6	0	54504979	1
QReCC-Test_2_7	0	54553452	1
QReCC-Test_2_9	0	54512231	1
QReCC-Test_2_10	0	54473896	1
QReCC-Test_2_11	0	54291494	1
QReCC-Test_3_2	0	54500577	1
QReCC-Test_3_3	0	54346923	1
QReCC-Test_3_4	0	54558888	1
QReCC-Test_3_5	0	54448866	1
QReCC-Test_3_5	0	54287846	1
QReCC-Test_3_6	0	54307624	1
QReCC-Test_3_7	0	54284000	1
QReCC-Test_3_9	0	54549845	1
QReCC-Test_4_1	0	54525840	1
QReCC-Test_4_1	0	2144807	1
QReCC-Test_4_2	0	54350867	1
QReCC-Test_4_3	0	54525840	1
QReCC-Test_4_4	0	54389846	1
QReCC-Test_4_5	0	54525018	1
QReCC-Test_5_2	0	54446073	1
QReCC-Test_5_3	0	33405638	1
QReCC-Test_5_3	0	54345352	1
QReCC-Test_5_5	0	54523061	1
QReCC-Test_5_7	0	34038821	1
QReCC-Test_5_7	0	54432626	1
QReCC-Test_5_8	0	54390104	1
QReCC-Test_5_10	0	54357403	1
QReCC-Test_6_2	0	54360987	1
QReCC-Test_6_3	0	54526375	1
QReCC-Test_6_4	0	54304163	1
QReCC-Test_6_8	0	54481394	1
QReCC-Test_7_4	0	54418720	1
QReCC-Test_7_7	0	54464285	1
QReCC-Test_7_8	0	54520598	1
QReCC-Test_7_9	0	54521834	1
QReCC-Test_7_10	0	54494878	1
QReCC-Test_8_2	0	54533928	1
QReCC-Test_8_2	0	54533931	1
QReCC-Test_8_3	0	54474855	1
QReCC-Test_8_6	0	54309166	1
QReCC-Test_9_3	0	54417096	1
QReCC-Test_9_5	0	54485882	1
QReCC-Test_9_6	0	31329884	1
QReCC-Test_9_6	0	23089866	1
QReCC-Test_9_8	0	54549441	1
QReCC-Test_10_2	0	54483615	1
QReCC-Test_10_4	0	54494699	1
QReCC-Test_10_7	0	54421831	1
QReCC-Test_10_8	0	54515280	1
QReCC-Test_10_9	0	54508430	1
QReCC-Test_12_1	0	54338473	1
QReCC-Test_12_3	0	54306030	1
QReCC-Test_12_5	0	54361330	1
QReCC-Test_12_7	0	54380289	1
QReCC-Test_12_9	0	54567652	1
QReCC-Test_13_2	0	54573048	1
QReCC-Test_13_3	0	54452166	1
QReCC-Test_13_4	0	54480542	1
QReCC-Test_13_6	0	54521027	1
QReCC-Test_13_7	0	54557810	1
QReCC-Test_13_8	0	54532639	1
QReCC-Test_13_9	0	36440514	1
QReCC-Test_13_9	0	54452166	1
QReCC-Test_13_10	0	54412697	1
QReCC-Test_14_1	0	54493316	1
QReCC-Test_14_3	0	54267682	1
QReCC-Test_14_5	0	54393827	1
QReCC-Test_15_1	0	54498767	1
QReCC-Test_15_2	0	54483453	1
QReCC-Test_15_4	0	54382639	1
QReCC-Test_15_6	0	54418482	1
QReCC-Test_16_3	0	19180786	1
QReCC-Test_16_3	0	54295273	1
QReCC-Test_16_6	0	19180786	1
QReCC-Test_16_6	0	54295273	1
QReCC-Test_16_9	0	54534782	1
QReCC-Test_17_2	0	54364548	1
QReCC-Test_17_3	0	54344527	1
QReCC-Test_17_5	0	54537633	1
QReCC-Test_17_6	0	54434585	1
QReCC-Test_17_7	0	54538523	1
QReCC-Test_17_8	0	54410459	1
QReCC-Test_18_2	0	54515525	1
QReCC-Test_18_3	0	54306553	1
QReCC-Test_18_4	0	54275483	1
QReCC-Test_18_5	0	54275484	1
QReCC-Test_18_5	0	54286963	1
QReCC-Test_18_6	0	54491038	1
QReCC-Test_18_9	0	54489731	1
QReCC-Test_19_4	0	54298159	1
QReCC-Test_19_6	0	54553196	1
QReCC-Test_20_3	0	54309404	1
QReCC-Test_20_4	0	54346844	1
